user_id,checkin_time,continuous_days

???,2025-06-20 13:53:26,1
心上秋,2025-06-20 14:55:28,1
刘小贱,2025-06-21 14:51:21,2
心上秋,2025-06-21 15:15:38,2
???,2025-06-22 14:26:16,1
心上秋,2025-06-22 14:47:26,3
刘小贱,2025-06-22 14:48:20,2
???,2025-06-23 09:05:26,2
刘小贱,2025-06-23 09:12:45,3
心上秋,2025-06-23 09:16:15,4
刘小贱,2025-06-24 07:51:52,4
???,2025-06-24 07:54:07,3
心上秋,2025-06-24 08:05:31,5
???,2025-06-25 08:14:54,4
心上秋,2025-06-25 08:16:00,6
???,2025-06-26 07:51:48,5
心上秋,2025-06-26 10:26:10,7
刘小贱,2025-06-26 10:26:21,1
心上秋,2025-06-27 10:47:40,8
心上秋,2025-06-30 08:45:06,1
刘小贱,2025-06-30 08:46:54,1
